Entity,Group,Value Name,Value Type,Value,Rank,Start Time,End Time
Q27561,alias,language,eu,BES uharteak,,,
Q27561,alias,language,fr,"Bonaire, Saint-Eustache et Saba",,,
Q27561,alias,language,fr,Îles BES,,,
Q27561,alias,language,es,Karibe Neerlandès,,,
Q27561,alias,language,es,Caribisch Nederland,,,
Q27561,alias,language,es,Islas BES,,,
Q27561,alias,language,frr,BES eilunen,,,
Q27561,alias,language,frr,BES-eilun,,,
Q27561,alias,language,frr,Aparte gemeen,,,
Q27561,alias,language,frr,Besondere Gemeinde,,,
Q27561,alias,language,af,Karibies-Nederland,,,
Q27561,alias,language,af,BES-Eilande,,,
Q27561,alias,language,oc,Illas BES,,,
Q27561,alias,language,lv,Karību Nīderlande,,,
Q27561,alias,language,it,Caraibi Olandesi,,,
Q27561,alias,language,it,Municipalità olandesi d'oltremare,,,
Q27561,alias,language,de,BES-Inseln,,,
Q27561,alias,language,de,Karibische Niederlande,,,
Q27561,alias,language,ja,オランダ領カリブ,,,
Q27561,alias,language,ja,BES諸島,,,
Q27561,alias,language,ja,カリブ・オランダ,,,
Q27561,alias,language,nl,Caraibisch Nederland,,,
Q27561,alias,language,nl,BES eilanden,,,
Q27561,alias,language,nl,BES-eilanden,,,
Q27561,alias,language,nl,Caraïbisch Nederland,,,
Q27561,alias,language,nl,Bijzondere gemeente,,,
Q27561,alias,language,ru,БЭС-острова,,,
Q27561,alias,language,ru,Нидерландские Карибские острова,,,
Q27561,alias,language,ru,Карибская Голландия,,,
Q27561,alias,language,ru,"Острова Бонайре, Синт-Эстатиус и Саба",,,
Q27561,alias,language,ru,Карибские Нидерланды,,,
Q27561,alias,language,ru,Острова БЭС,,,
Q27561,alias,language,ru,Острова БЕС,,,
Q27561,alias,language,ru,"Бонайре, Синт-Эстатиус и Саба",,,
Q27561,alias,language,ru,Карибские Нидерландские острова,,,
Q27561,alias,language,ru,Нидерланды Карибские,,,
Q27561,alias,language,ru,БЕС-острова,,,
Q27561,alias,language,ru,"Бонайре, Саба и Синт-Эстатиус",,,
Q27561,alias,language,fy,BES-eilannen,,,
Q27561,alias,language,ca,Carib neerlandès,,,
Q27561,alias,language,uk,Острови BES,,,
Q27561,alias,language,nn,BES-øyane,,,
Q27561,alias,language,nn,"Bonaire, Sint Eustatius og Saba",,,
Q27561,alias,language,cs,BES ostrovy,,,
Q27561,alias,language,fa,کارائیب هلند,,,
Q27561,alias,language,fa,هلند کارائیب,,,
Q27561,alias,language,ur,"Bonaire, Saint Eustatius and Saba",,,
Q27561,alias,language,lt,Karibų Nyderlandai,,,
Q27561,alias,language,en,BES islands,,,
Q27561,alias,language,nb,BES-øyene,,,
Q27561,alias,language,nb,"Bonaire, Saint Eustatius og Saba",,,
Q27561,alias,language,nb,"Bonaire, Sint Eustatius og Saba",,,
Q27561,alias,language,nb,BES,,,
Q27561,alias,language,el,Καραϊβική Ολλανδία,,,
Q27561,alias,language,hu,"Királyság-szigetek (Bonaire, Saba, Sint Eustatius)",,,
Q27561,alias,language,hu,BES-szigetek,,,
,,,,,,,
Q27561,description,language,en,"grouping of the Caribbean islands of Bonaire, Sint Eustatius, and Saba, part of the Netherlands",,,
Q27561,description,language,nb,"gruppering av de karibiske øyene Bonaire, Sint Eustatius og Saba, som er del av Nederland",,,
Q27561,description,language,nl,"benaming van de Nederlandse bijzondere gemeenten (eilanden) Bonaire, Sint Eustatius en Saba in de Caraïben",,,
Q27561,description,language,es,"región conformada por las islas de Bonaire, San Eustaquio y Saba en los Paises Bajos",,,
Q27561,description,language,de,"Besonderen Gemeinden der Niederlande: Bonaire, Sint Eustatius und Saba",,,
Q27561,description,language,fr,"regroupement des îles néerlandaises de Bonaire, Saint-Eustache et Saba",,,
Q27561,description,language,it,isole caraibiche olandesi,,,
Q27561,description,language,ru,"островное владение Нидерландов в Карибском море, в архипелаге Малых Антильских островов в Вест-Индии",,,
Q27561,description,language,hu,Hollandia különleges státusú szigetei a Karib-tengeren,,,
Q27561,description,language,fi,"ryhmä Karibian saaria, osa Alankomaita",,,
,,,,,,,
Q27561,label,language,zh,荷蘭加勒比區,,,
Q27561,label,language,pl,Niderlandy Karaibskie,,,
Q27561,label,language,eu,Karibeko Herbehereak,,,
Q27561,label,language,ko,네덜란드령 카리브 해 지역,,,
Q27561,label,language,fr,Pays-Bas caribéens,,,
Q27561,label,language,bs,Karipska Holandija,,,
Q27561,label,language,es,Caribe Neerlandés,,,
Q27561,label,language,lad,Karibe Neerlandez,,,
Q27561,label,language,frr,BES-eilunen,,,
Q27561,label,language,af,Karibies Nederland,,,
Q27561,label,language,oc,Païses Basses Caribencs,,,
Q27561,label,language,lv,"Bonaire, Sintēstatiusa un Saba",,,
Q27561,label,language,it,Isole BES,,,
Q27561,label,language,id,Kepulauan BES,,,
Q27561,label,language,de,Karibische Niederlande,,,
Q27561,label,language,ja,ボネール、シント・ユースタティウスおよびサバ,,,
Q27561,label,language,vi,Caribe Hà Lan,,,
Q27561,label,language,sv,Karibiska Nederländerna,,,
Q27561,label,language,nl,Caribisch Nederland,,,
Q27561,label,language,pt,Países Baixos Caribenhos,,,
Q27561,label,language,ru,"Бонэйр, Синт-Эстатиус и Саба",,,
Q27561,label,language,sr,Карипска Холандија,,,
Q27561,label,language,en,Caribbean Netherlands,,,
Q27561,label,language,fy,Karibysk Nederlân,,,
Q27561,label,language,ca,Illes BES,,,
Q27561,label,language,uk,Нідерландські Карибські острови,,,
Q27561,label,language,nn,Karibisk Nederland,,,
Q27561,label,language,cs,Karibské Nizozemsko,,,
Q27561,label,language,fa,جزایر کارائیب هلند,,,
Q27561,label,language,ur,کیریبین نیدرلینڈز,,,
Q27561,label,language,ka,კარიბის ნიდერლანდები,,,
Q27561,label,language,lt,BES salos,,,
Q27561,label,language,ar,الجزر الكاريبية الهولندية,,,
Q27561,label,language,eo,Kariba Nederlando,,,
Q27561,label,language,nb,Karibisk Nederland,,,
Q27561,label,language,pnb,کریبین نیدرلینڈز,,,
Q27561,label,language,pa,ਕੈਰੀਬੀਆਈ ਨੀਦਰਲੈਂਡ,,,
Q27561,label,language,li,Caribisch Nederland,,,
Q27561,label,language,el,Καραϊβικές Κάτω Χώρες,,,
Q27561,label,language,en-gb,Caribbean Netherlands,,,
Q27561,label,language,sco,Caribbean Netherlands,,,
Q27561,label,language,mk,Карипска Холандија,,,
Q27561,label,language,hu,Karibi Hollandia,,,
Q27561,label,language,sh,Karipska Nizozemska,,,
Q27561,label,language,hy,Կարիբյան Նիդերլանդներ,,,
Q27561,label,language,fi,Karibian Alankomaat,,,
,,,,,,,
Q27561,claim,P17,wikibase-item,55,normal,,
Q27561,claim,P297,string,BQ,normal,,
Q27561,claim,P298,string,BES,normal,,
Q27561,claim,P299,string,535,normal,,
Q27561,claim,P373,string,Caribbean Netherlands,normal,,
Q27561,claim,P41,commonsMedia,Flag of the Netherlands.svg,normal,,
Q27561,claim,P242,commonsMedia,BES islands location map.svg,normal,,
Q27561,claim,P30,wikibase-item,664609,normal,,
Q27561,claim,P527,wikibase-item,25396,normal,,
Q27561,claim,P527,wikibase-item,26180,normal,,
Q27561,claim,P527,wikibase-item,25528,normal,,
Q27561,claim,P361,wikibase-item,5317255,normal,,
Q27561,claim,P78,wikibase-item,142380,normal,,
Q27561,claim,P78,wikibase-item,493202,preferred,,
Q27561,claim,P78,wikibase-item,40342,deprecated,,
Q27561,claim,P625,latitude,12.183333333333,normal,,
Q27561,claim,P625,longitude,-68.233333333333,normal,,
Q27561,claim,P474,string,+599,normal,,
Q27561,claim,P402,string,1216720,normal,,
Q27561,claim,P910,wikibase-item,8344109,normal,,
Q27561,claim,P94,commonsMedia,State coat of arms of the Netherlands.svg,normal,,
Q27561,claim,P38,wikibase-item,4917,normal,,
Q27561,claim,P610,wikibase-item,1301834,normal,,
Q27561,claim,P31,wikibase-item,82794,normal,,
Q27561,claim,P421,wikibase-item,2085376,normal,,
Q27561,claim,P646,string,/m/0bwhs8r,normal,,
Q27561,claim,P982,string,fa3bd744-11d5-3ce1-ad1a-0254f178f9b1,normal,,
Q27561,claim,P1566,string,7626844,normal,,
,,,,,,,
Q27561,sitelink,site,plwiki,Holandia Karaibska,,,
Q27561,sitelink,site,euwiki,Karibeko Herbehereak,,,
Q27561,sitelink,site,kowiki,네덜란드령 카리브,,,
Q27561,sitelink,site,frwiki,Pays-Bas caribéens,,,
Q27561,sitelink,site,bswiki,Karipska Holandija,,,
Q27561,sitelink,site,eswiki,Caribe Neerlandés,,,
Q27561,sitelink,site,ladwiki,Karibe Neerlandez,,,
Q27561,sitelink,site,frrwiki,BES-eilunen,,,
Q27561,sitelink,site,afwiki,Karibies Nederland,,,
Q27561,sitelink,site,ocwiki,Païses Basses Caribencs,,,
Q27561,sitelink,site,lvwiki,"Bonaire, Sintēstatiusa un Saba",,,
Q27561,sitelink,site,itwiki,Isole BES,,,
Q27561,sitelink,site,idwiki,Belanda Karibia,,,
Q27561,sitelink,site,dewiki,Besondere Gemeinde (Niederlande),,,
Q27561,sitelink,site,jawiki,ボネール、シント・ユースタティウスおよびサバ,,,
Q27561,sitelink,site,viwiki,Caribe Hà Lan,,,
Q27561,sitelink,site,svwiki,Karibiska Nederländerna,,,
Q27561,sitelink,site,nlwiki,Caribisch Nederland,,,
Q27561,sitelink,site,ptwiki,Países Baixos Caribenhos,,,
Q27561,sitelink,site,ruwiki,"Бонэйр, Синт-Эстатиус и Саба",,,
Q27561,sitelink,site,srwiki,Карипска Холандија,,,
